"filename", "language", "C#", "UnityShader", "comment", "blank", "total"
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\NoiseSettings.cs", "C#", 55, 0, 0, 12, 67
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\PerlinNoise.cs", "C#", 43, 0, 0, 8, 51
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Ramp.cs", "C#", 56, 0, 0, 10, 66
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\RandomTransform.cs", "C#", 92, 0, 0, 13, 105
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\ScriptElementPatterns.cs", "C#", 69, 0, 2, 14, 85
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\TerrainGenerationSettings.cs", "C#", 26, 0, 0, 5, 31
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Waypoint.cs", "C#", 37, 0, 3, 9, 49
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Extensions\AddTriggersToStates.cs", "C#", 32, 0, 5, 4, 41
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Extensions\ScreenCast.cs", "C#", 61, 0, 0, 15, 76
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Extensions\SerializableDictionary.cs", "C#", 50, 0, 2, 10, 62
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Extensions\SerializableHashSet.cs", "C#", 28, 0, 2, 7, 37
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Extensions\VectorExtensions.cs", "C#", 55, 0, 7, 15, 77
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\IAgent.cs", "C#", 10, 0, 23, 6, 39
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\IGraph.cs", "C#", 10, 0, 0, 2, 12
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\IPath.cs", "C#", 12, 0, 0, 2, 14
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\Obstruction.cs", "C#", 148, 0, 23, 30, 201
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\ObstructionArray.cs", "C#", 47, 0, 0, 9, 56
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\ObstructionList.cs", "C#", 20, 0, 0, 4, 24
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\ObstructionRect.cs", "C#", 28, 0, 0, 9, 37
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\ObstructionSet.cs", "C#", 24, 0, 0, 5, 29
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\PriorityQueue.cs", "C#", 60, 0, 1, 11, 72
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\Search.cs", "C#", 186, 0, 1, 57, 244
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\VoxelTraversal.cs", "C#", 190, 0, 7, 46, 243
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Toon\Scripts\PostProcessingEffect.cs", "C#", 19, 0, 0, 5, 24
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Toon\Shaders\CustomTessellation.cginc", "UnityShader", 0, 61, 4, 12, 77
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Toon\Shaders\Grass.shader", "UnityShader", 0, 226, 32, 70, 328
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Toon\Shaders\Pixelated.shader", "UnityShader", 0, 79, 9, 20, 108
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Toon\Shaders\Solid.shader", "UnityShader", 0, 62, 0, 12, 74
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Toon\Shaders\Terrain.shader", "UnityShader", 0, 67, 0, 15, 82
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Toon\Shaders\Textured.shader", "UnityShader", 0, 68, 0, 10, 78
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\pxl-UI\Scripts\DialogueBox.cs", "C#", 135, 0, 54, 31, 220
"Total", "-", 4004, 563, 560, 1105, 6232
