"filename", "language", "C#", "UnityShader", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "UnityShader", 0, 112, 0, 0, 3, 31, 146
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "UnityShader", 0, 109, 0, 0, 2, 33, 144
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "UnityShader", 0, 243, 0, 0, 4, 71, 318
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "UnityShader", 0, 241, 0, 0, 4, 66, 311
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "UnityShader", 0, 188, 0, 0, 10, 50, 248
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "UnityShader", 0, 183, 0, 0, 8, 50, 241
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "UnityShader", 0, 82, 0, 0, 4, 21, 107
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "UnityShader", 0, 183, 0, 0, 8, 50, 241
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "UnityShader", 0, 103, 0, 0, 8, 28, 139
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "UnityShader", 0, 122, 0, 0, 4, 33, 159
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "UnityShader", 0, 243, 0, 0, 4, 71, 318
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "UnityShader", 0, 97, 0, 0, 0, 20, 117
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMPro.cginc", "UnityShader", 0, 63, 0, 0, 2, 20, 85
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "UnityShader", 0, 122, 0, 0, 2, 34, 158
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "UnityShader", 0, 62, 0, 0, 10, 14, 86
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "UnityShader", 0, 76, 0, 0, 7, 19, 102
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 0, 0, 155, 0, 0, 2, 157
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Agent.cs", "C#", 29, 0, 0, 0, 0, 10, 39
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Map.cs", "C#", -7, 0, 0, 0, -1, -3, -11
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\MapGeneratorBase.cs", "C#", -18, 0, 0, 0, 0, -5, -23
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Waypoint.cs", "C#", 8, 0, 0, 0, 3, 4, 15
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Packages\manifest.json", "JSON", 0, 0, 45, 0, 0, 1, 46
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Packages\packages-lock.json", "JSON", 0, 0, 430, 0, 0, 1, 431
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\README.md", "Markdown", 0, 0, 0, 1, 0, 2, 3
"Total", "-", 601, 2681, 630, 1, 187, 828, 4928
